k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
36,-22.7791,-4667.09,4621.53,0.0085894,-3.71504,-670.294,662.864,0.800093,7.60229,-6.75345,-70931.3,70917.8,7.60229
37,-21.9734,-4943.54,4899.6,0.00872021,-3.70392,-749.161,741.753,0.800138,7.60301,-6.97401,-78854.3,78840.3,7.60301
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0117546,-0.0183356,0.0418448,0.00864545,0.508067,0.484553,0.531581,0.800118,7.60412,7.06639,6.86759,7.26519,7.60412
2,-0.239559,-0.322945,-0.156173,0.00861554,0.431317,0.390412,0.472221,0.800156,7.6031,5.94441,5.53247,6.35636,7.6031
3,-0.790638,-1.05876,-0.522518,0.00860661,0.354751,0.287212,0.422291,0.800143,7.60257,5.92354,5.2837,6.56338,7.60257
4,-1.76238,-2.44937,-1.07539,0.00862653,0.252843,0.140618,0.365067,0.800205,7.6034,6.28916,5.31349,7.26483,7.6034
5,-3.51972,-5.15914,-1.8803,0.00878343,0.0915614,-0.108324,0.291447,0.800075,7.60245,7.14418,5.461,8.82735,7.60245
6,-7.06802,-10.8256,-3.31043,0.00862852,-0.208806,-0.587804,0.170192,0.800111,7.60303,8.99847,6.04295,11.954,7.60303
7,-15.2898,-23.9617,-6.61784,0.00865555,-0.863331,-1.63342,-0.093243,0.800107,7.60296,13.4826,7.83942,19.1258,7.60296
8,-30.9304,-52.1828,-9.67801,0.00864137,-2.05555,-3.7769,-0.334192,0.800153,7.6037,25.5721,8.395,42.7492,7.6037
9,-43.2018,-90.9131,4.50946,0.00864733,-2.9855,-6.60904,0.638044,0.800179,7.60412,43.8879,-37.6261,125.402,7.60412
10,-48.3855,-143.312,46.5413,0.00871507,-3.41164,-10.1872,3.36391,0.800208,7.60506,41.7738,-237.39,320.938,7.60506
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0117567,-0.0183335,0.0418469,0.0086575,0.507752,0.484238,0.531266,0.800061,7.60158,7.06639,6.86759,7.26519,7.60158
2,-0.239888,-0.323298,-0.156478,0.00873444,0.430927,0.390021,0.471834,0.800234,7.60483,5.94311,5.53117,6.35506,7.60483
3,-0.790728,-1.05898,-0.522481,0.00858815,0.354415,0.286867,0.421963,0.800049,7.6034,5.92276,5.28289,6.56263,7.6034
4,-1.76261,-2.44992,-1.0753,0.00873306,0.252506,0.140259,0.364753,0.800196,7.6031,6.2887,5.31291,7.26448,7.6031
5,-3.51886,-5.15913,-1.87859,0.00865195,0.091338,-0.10861,0.291286,0.800225,7.60423,7.14436,5.46076,8.82796,7.60423
6,-7.06563,-10.8249,-3.30634,0.00868538,-0.208888,-0.588012,0.170235,0.800112,7.6037,8.99807,6.04153,11.9546,7.6037
7,-15.2866,-23.9614,-6.61185,0.00875919,-0.86333,-1.63363,-0.0930341,0.800137,7.60286,13.4807,7.83555,19.1258,7.60286
8,-30.9324,-52.1914,-9.6735,0.00867956,-2.05589,-3.7777,-0.334071,0.800139,7.60307,25.569,8.38674,42.7513,7.60307
9,-43.2022,-90.929,4.52465,0.00860414,-2.98569,-6.61026,0.638884,0.800045,7.60296,43.8882,-37.6641,125.441,7.60296
10,-48.3839,-143.338,46.5707,0.00868215,-3.41169,-10.189,3.3656,0.800191,7.60446,41.7689,-237.501,321.038,7.60446
11,-49.8827,-211.832,112.067,0.00861421,-3.59935,-14.6466,7.44787,0.8002,7.60321,32.1747,-608.086,672.435,7.60321
12,-49.8661,-294.428,194.696,0.00873903,-3.69481,-19.9391,12.5495,0.80018,7.60406,25.1482,-1123.85,1174.15,7.60406
13,-49.1744,-389.055,290.706,0.0086022,-3.74972,-26.0329,18.5334,0.800111,7.60279,20.2966,-1766.15,1806.74,7.60279
14,-48.1485,-493.035,396.738,0.00867688,-3.78381,-32.8609,25.2933,0.800199,7.6033,16.6801,-2497.8,2531.16,7.6033
15,-46.9462,-606.036,512.144,0.00870884,-3.80584,-40.4947,32.883,0.800213,7.60397,13.7956,-3345.62,3373.22,7.60397
k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
1,0.0117577,-0.0183325,0.0418479,0.00877424,0.507752,0.484238,0.531265,0.800069,7.60271,7.0664,6.8676,7.2652,7.60271
2,-0.239499,-0.322909,-0.156089,0.00869175,0.431046,0.39014,0.471952,0.800083,7.60344,5.94311,5.53117,6.35506,7.60344
3,-0.790522,-1.05873,-0.522313,0.00866878,0.354502,0.286957,0.422048,0.800196,7.60345,5.92272,5.28286,6.56258,7.60345
4,-1.76273,-2.44995,-1.07551,0.00878504,0.252557,0.140316,0.364797,0.800087,7.60271,6.28864,5.31289,7.26439,7.60271
5,-3.52016,-5.16027,-1.88006,0.00868436,0.091281,-0.108654,0.291216,0.800102,7.60359,7.14448,5.46097,8.82798,7.60359
6,-7.07276,-10.8321,-3.31345,0.00861636,-0.209422,-0.588545,0.169702,0.800126,7.60324,8.99943,6.043,11.9559,7.60324
7,-15.3057,-23.9835,-6.62788,0.00869081,-0.864761,-1.63526,-0.0942586,0.800059,7.60168,13.4902,7.84354,19.1368,7.60168
8,-30.9592,-52.2266,-9.69188,0.00860781,-2.05784,-3.7802,-0.335489,0.800239,7.60444,25.5972,8.39484,42.7996,7.60444
