k,Up_est,Up_low,Up_up,Up_true,SOC_est,SOC_low,SOC_up,SOC_true,Vol,y_est,y_low,y_up,y_true
4291,0.00194633,0.000977933,0.00291472,0.00192942,-5.55369,-7.69999,-3.40738,0.48503,3.65883,3.67245,-1.63863e+07,1.63863e+07,3.65883
4292,0.00188254,0.000914144,0.00285093,0.00187307,-5.55369,-7.70049,-3.40688,0.485046,3.65784,3.67326,-1.63901e+07,1.63901e+07,3.65784
4293,0.00182084,0.000852446,0.00278924,0.00173061,-5.55369,-7.70099,-3.40638,0.484991,3.65893,3.67395,-1.63939e+07,1.63939e+07,3.65893
4294,0.00176117,0.00079277,0.00272956,0.00164363,-5.55369,-7.70149,-3.40588,0.484908,3.65755,3.67448,-1.63977e+07,1.63977e+07,3.65755
4295,0.00170345,0.000735051,0.00267184,0.00152758,-5.55369,-7.70199,-3.40538,0.484888,3.65801,3.67494,-1.64016e+07,1.64016e+07,3.65801
4296,0.00164762,0.000679225,0.00261601,0.00155734,-5.55369,-7.70249,-3.40488,0.48493,3.62261,99.1386,-1.64063e+07,1.64065e+07,3.62261
4297,0.00208531,0.00111691,0.0030537,0.00209215,-5.55374,-7.70305,-3.40444,0.4849,3.62194,177.412,-1.64108e+07,1.64112e+07,3.62194
4298,0.00250865,0.00154025,0.00347705,0.0025229,-5.55379,-7.70359,-3.40399,0.484835,3.62068,241.597,-1.64152e+07,1.64157e+07,3.62068
4299,0.00291811,0.00194972,0.00388651,0.00303104,-5.55383,-7.70413,-3.40352,0.484772,3.62124,294.23,-1.64195e+07,1.64201e+07,3.62124
4300,0.00331415,0.00234575,0.00428255,0.00350806,-5.55386,-7.70466,-3.40306,0.484762,3.61992,337.387,-1.64238e+07,1.64244e+07,3.61992
4301,0.0036972,0.00272881,0.0046656,0.00391642,-5.55388,-7.70519,-3.40258,0.48467,3.6202,372.81,-1.64279e+07,1.64286e+07,3.6202
4302,0.00406788,0.00309948,0.00503627,0.00419187,-5.55391,-7.70571,-3.4021,0.484543,3.61853,401.855,-1.6432e+07,1.64328e+07,3.61853
4303,0.0044264,0.003458,0.0053948,0.00458829,-5.55392,-7.70623,-3.40162,0.484492,3.61884,425.705,-1.6436e+07,1.64369e+07,3.61884
